imfuziselo utshintshiselwano
umphakathi uluntu
isikhundla iwonga
ukulungiselelwa uqhelaniso
izihlobo umzalwane
umphakathi uluntu
ontanga ihlelo
ibutho iseti
isikhungo uncedo
umphakathi umbutho
ukuqhubukusheka ukuhluthwa
isizukulwana inzala
ukuzikhethela iindawo
ukuhlabela unqulo
i-enimizimu unqulo
ezokusetshenziswa ulwazi
indidiyelolwazi ufaniso
ukusetshenziswa ukusebenzisa
ukuhlala indawo
ukubuyiselana ukwenzelana
isithungo iqela
ububhendi ubugebenga
amathemu ukwahlula
indoda indoda
isizukulwana isizukulwana
ukubala ubalo
ukuhlala ikhaya
abakholelwa izimiseli
ukuziphatha ukuncitshiswa
ibhujuwazi ibhujwazi
ilobolo ilobola
ukusebenzela inkonzo
umnotho ubutyebi
ibhyurokhrasi ulawulo
uhlelo inkqubo
imikhankaso iinkqubo
okuthathelwe ifilosofi
uhlelo inkqubo
isikhundla indawo
ubukhosi ubukhosi
isizwe isiduko
UNK udidi
ukuqwasha ukuzazi
amathemu amagama
ikhohothi iqela
ukuguqulela ukulungisa
ikhomyunithasi umoya
ubudlelwane unxulumano
izihlobo izalamane
izihlobo izalamane
imiphakathi imibutho
ucwaningo ufundonzulu
isingakukhulelwa isiko
ulimi umxube
abazala abazala
ababona abamiseli
ukusombuluka ukukhula
ithiyori inkcubeko
ubudlelwane iiyantlukwano
amasiko imimiselo
UNK inkcubeko
ukushaqeka umothuko
UNK inkcubeko
idatha i-data
idiskhonstrakshini ukudiliza
isizukulwana iqela
amathemu amagama
ithiyori ulwimi
ufuduko ukuthi
ukuhlakazeka ukuphangalala
inkiphelamizwa ushenxiso
ukubhula ukuvumisa
ukwahlukaniswa ukwahlulwa
ukwejwayeza ukuqhelanisa
idowri ikhazi
UNK ubumna
i-igo ubumna
i-emikhi i-emic
i-inkhalthureshini ukuziqhelisa
i-endogami ukutshata
UNK inkolelo
i-esentshiyalizimu inkolo
isizwe Iiqela
ukuhlalisana ubuninzi
ubuhlanga ubuhlanga
i-ethnografi ubukho
umcwaningi uphando
isayensi inzululwazi
i-ethikhi i-etic
amathiyori iithiyori
i-ekizogami ukutshata
UNK usapho
okuyifusi phunyuziweyo
umndeni usapho
umbango imbambano
umbango imbambano
ifyudalizimu inkqubo
ubundeni izalamne
ukuforija ukutya
ukugana ukuba
umbono imbono
injulalwazi uluvo
i-gemeischaft uthungelwano
indlela indlela
ubulili isini
imisebenzi imisebenzi
imibono izakhiwo
ukubekelelwa ukuhlelwa
owesilisa umanduleli
ukufuza uhlobo
i-gesellschaft iqela
insebenziswanoxhumano ukwenza
ihebhithasi isiqhelo
umthelela isiphumo
ihejemoni ugonyamelo
iherminyuthikhsi inzululwazi
UNK equka
umphakathi umbutho
ihothikhalsha ukulinywa
abalimi abazingeli
UNK ingqikelelo
i-ikhonografi umbhalo
inxanela i-id
UNK ubuwena
umfanekiso umfanekiso
i-imperiyalizimu inkolo
ukunqabela uthintelo
umndeni likhaya
ukuqamba ukuqamba
abantu abantu
ubuthelwa ufikelelo
uhlelozimboni UNK
umnikilwazi umazisi
ukuzibonela amathuku
UNK ubuhlanga
i-inthapheleshini inkqubo
indlela indlela
umndeni ikhaya
umndeni izalamane
ikhinisiksi isifundo
izihlobo izalamane
ubuhlobo ubuzalwane
ukulinganisa ubalo
ikhularingi umbutho
ulimi ulwimi
umzekeliso UNK
ukungena ukungenela
umjikelezo amanqanaba
iliminalithi ukuba
uhlanga umlibo
amathemu isigama
isihlobo umlibo
ulimi ulwimi
umlingo ubugqi
imana i-mana
UNK ulawulo
isizwe isiduko
umndeni ejolise
isizukulwana ukuzalana
isiko indawo
okufiphazayo i-melanin
imeritokhresi ulawulo
ukwenzelana ukuziqhelisa
umkhankaso umbutho
abayingcosana iqela
inzondasifazane inzondo
ukwenzasimanje ukwenza
imoyeti isiqingatha
ukuthatha ukutshatela
imonopholi imonopoli
ukukholwa unqulo
izinkoleloze iintsomi
isizwe isizwe
umbuso ilizwe
amasiko inkcubeko
izizwe izizwe
ukuzikhethekela ukhetho
ukubuyiselana ukubuyiselana
Okwesikhathi ixesha
ukuhlala indawo
ukucwasa ubuhlanga
ubuzulane ubufuna-dlelo
ukungavumi ukuziphatha
izinkambisomgomo izithethe
umndeni ikhaya
idlanzana ulawulo
uhlelo inkqubo
umlomo indawo
i-oriyentalizimu ngokwenkcubeko
okwempilo i-Palaeolithic-
UNK ipharadayimu
abazala abazala
ukuqashelwa ingqwalasela
ukwehluka ukukhetheka
abafuyi abelusi
UNK ulawulo
isizwe isidwangube
inhlanganisela ukuntsonkotha
isizukulwana ukuzalana
isiko ukuhlala
uhlelo inkqubo
umnini umlimi
ontanga iqela
izimpawu uhlobo
isifundo izandi
ifonetiki ifonetiki
ifonoloji ifonoloji
isigaba i-phratry
iphidjini ulwimi
umphakathi umbutho
ipholiyandri umfazi
ukuthatha umtshato
isithembu umtshato
ukukhonza inkolo
UNK inkolelo
umphakathi umbutho
ukungayi ithuba
iphosimodenizimu emva
iphothiletshi i-potlatch
amandla amandla
abasezikhundleni amandla
ukulimazeka ukuqal'
ukuphakanyelwa udumo
ukufundiswa uqhelaniso
imvunasilisa ubuzibulo
umphrofethi umprofeti
imigomo inqobo
ithisizi ithisisi
okomhlaba ngenantlonelo
iphroksimiksi isifundo
ubunye iyunithi
iphuda i-purdah
UNK uphando
ucwaningo uphando
uhlanga uhlanga
ukukleliswa imibutho
ukubuyiselana ukuxhomekeka
UNK ulwabiwo
UNK imo
inkolo ukholo
ukuguqulelwa uqhelaniso
imikhankaso uvuselelo
isiko ilungelo
amasiko amatiletile
imikhuba amatiletile
imisebenzi inkqubo
UNK indima
okungcwele ngcwele
umhlatshelo umnikelo
utswinyo ukwayo
ihayiphothisizi ingcinga
isayensi isayensi
imiphakathi imibutho
ukufuya ubufuyi
abantu umlibo
uhlelo umbutho
imiphakathi imibutho
uqobo ubuwena
isemantiki izifundo
isimiyothiksi intsingiselo
ukugana ukulandelelana
ukubandlulula ucalulo
umehluko ubukho
ukwahlukaniselwa ukwahlulwa
UNK ubuni
ukubekelelwa ukuhlela
ishameni u-shaman
inkolo unqulo
ukulima ukulima
ukulinywa ukushenxisa
ukulinywa ukushenxisa
izelamani izalamane
uphawu uphawu
ukulima ulimo
ubugqila ubukhoboka
ukuhlalisana ukunamathelana
ubuwena imo
ubuDawinizimu ezeNtlalo
ukwehlukanisa ingqikelelo
isizwe ubuhlanga
umumo ulwakhiwo
isikhundla iwonga
uhlelo inkqubo
ithiyori ingcingane
ukuzimatanisa ukufundiswa
umphakathi uluntu
isoshiyobhayoloji ibhayoloji
isoshiyolingwistiksi ISoshiyolingwistikhi
ukuganwa umbutho
ukugxila ubufuyi
ukungenwa ukuphathwa
isikhundla iwonga
inkolelomcabango intetho
uhlelomikhakhakha uhlelo
istraksharali-fankshinalizimu ukusebenza
ukuhlaziya isakhelo
amasikwana iinkcubeko
isabhustentivizimu ukuzimela
isuphayigo i-superego
abantu i-superordinate
uphawu umqondiso
ukuhlanganiswa i-syncretism
okungamukelekile isithintelo
okungelona inkohliso
ithothemu i-totem
ubuthothemu i-totemism
uhlanga uhlanga
isizukulwana umlibo
ukusombuluka ukudaleka
inguqukelasilungwini ukufudukela
abazelwe i-uterine
ukuhlala i-uxorilocality
izimiso iintsulungeko
ukuya ukushukumiseka
imozayikhi ukuma
ukuhlala ikhaya
izinhlangano imibutho
ubugebengu ulwaphulo-mthetho
ubuthakathi ubuthakathi
abantu abantu
ukwesaba i-xenophobia
umdlalo umdlalo
okusasilwane i-zoomorphic
umuzi ikhaya
ukuxhumanakunikezelana intsebenziswano
isayensi izifundo
ubudoda isiduna
ukucwasa umoya
ukuqhezuka unxaxho
namathelana ukubumbana
UNK ingcingane
okubambekayo -ekholose
ukwahlukanisa ukuphila
UNK umcamango
impoqo ukunyanzeleka
isifundomidanti amanani
isikwana inkcubeko
umbono ukuthath'
amadayedi amaqedlana
UNK inguquko
ithiyori ingcingane
ucwaningo uphando
umlando izifundo
ithiyori ingcingane
ithiyori ingcingane
ithiyori ingcingane
UNK UNK
UNK UNK
impathonqubo ukuziphatha
UNK iinguqu-nguquko
uEmile uEmile
uKarl UNK
ukutatazeliswa iinkxalabo
ukucutshungulwa uhlalutyo
UNK UNK
UNK UNK
UNK UNK
ukwakheka amaqalela
UNK UNK
inqubo inkqubo
UNK UNK
UNK UNK
umthetho imithetho
uMax UNK
upholavuthondaba UNK
umkhathimpilo ulwantwentwe
ibhaladi UNK
ukuzimela UNK
umlando UNK
isendlalelo UNK
ukuthatha UNK
ubuciko UNK
